,Company,Address,Precise_add,Phone_no,Items
0,Xiolife India Private Limited,"Begur, Bengaluru","284/8, 4th Floor, Garvebhavipalya, Bengaluru-  560068, Karnataka","Call
08048371936,457","['Filters (Air Purifier) - XT3308C', 'Air Purifier - 3310CH', 'Air Purifier - 3307CH', 'Air Purifier - 3306CH', 'Air Purifier - 3317CH', 'Air Purifiers', 'Filters (Air Purifier) - XT3308', 'Filters (Air Purifier) - XT3309', 'Air Purifier - 3308CH', 'Air Purifiers 3310CH', '', '', '', '', '']"
1,Eureka Forbes,"Kanakapura Road, Bengaluru","No. 5, 2nd Floor, Industrial Area Kanakapura Road, Bengaluru-  560062, Karnataka","Call
09036626688","['Aeroguard Fresh Air Purifiers', 'Aeroguard Breeze Air Purifiers', 'Dr Aeroguard SCPR 1100 Air Purifiers', 'Dr Aeroguard SCPR 200 Air Purifiers', 'Dr Aeroguard SCPR 300 Air Purifiers', 'Dr Aeroguard SCPR 100 Air Purifiers', 'Dr Aeroguard SCPR 700 Air Purifiers', 'Aeroguard Mist Air Purifiers', 'Aeroguard Wave Air Purifiers', 'Aeroguard 4S Air Purifiers']"
2,Eureka Forbes,"JP Nagar, Bengaluru","5, 2nd floor, Kanakapura Main Road, Yelasenahalli, J C Industrieal Area, JP Nagar, Bengaluru-  560061, Karnataka","Call
09743119148","['Aeroguard Wave', 'Aeroguard Mist', 'Aeroguard Breeze', 'Dr Aeroguard SCPR 1100', 'Dr Aeroguard SCPR 700', 'Dr Aeroguard SCPR 200', 'Dr Aeroguard SCPR 100', 'Aeroguard Fresh']"
3,Airtemp Solutions Pvt Ltd,"Opp to ESIC Dispensary,, Bengaluru","ikandar  #2, Queens Road, Next To Sanjevani Press,, Bengaluru-  560051, Karnataka","Call
08048361264,430","['BS-AP90RAP Blue Star Air Purifiers', 'BS-AP450SANS Blue Star Air Purifiers', 'Air Purifiers', 'BS AP450SANW White Air Purifiers', 'BS AP250RAP Air Purifiers', 'Air Purifier', 'Air Purifier']"
4,Terra Cool Solutions,"C V Raman Nagar, Bengaluru","No.1, 108, RKR Building, Kaggadaspura Main Road, Bengaluru-  560093, Karnataka","Call
09916160555","['BS-AP450SANW Blue Star Air Purifiers', 'BS-AP250RAP Blue Star Air Purifiers', 'BS AP90RAP Air Purifiers', 'BS-AP450SANS Blue Star Air Purifiers', 'BS-AP250RAP Blue Star Air Purifiers']"
5,Panasonic DTS Electronics,"Parvathi Plaza, Bengaluru","Unit No. 001, Basement, Parvathi Plaza, Richmond Road, Bengaluru-  560025, Karnataka","Call
09448003937","['Air Purifier', 'Air Purifiers', 'Air Purifiers', 'Air Purifier', 'F PXF35MKU Air Purifiers']"
6,V Cool Solution,"Immadihalli Main Road, Bengaluru","No. 1, 1st Floor, Opposite Government School, Immadihalli Main Road, Bengaluru-  560066, Karnataka","Call
09036611999","['Office Air Purifier', 'Portable Air Purifier', 'Hitachi Air Purifier', 'Heavy Duty Air Purifier', 'Air Purifier']"
7,Eureka Forbes,"HSR Layout, Bengaluru","No 578-B, Shweta Arcade, 3rd Floor, Sector 6, 100 Feet Road, HSR Layout, Bengaluru-  560102, Karnataka","Call
08048371789,152","['Aeroguard SCPR Air Purifiers', 'Aeroguard Mist Air Purifiers', 'Aeroguard SCPR Air Purifiers', 'Aeroguard Air Purifiers', 'Aeroguard SCPR 700 Air Purifiers']"
8,Volvoxz Enterprises,"Malleswaram, Bengaluru","No. 57, 5th Cross, 5th Main Road, , Malleswaram, Bengaluru-  560003, Karnataka","Call
09164936093","['Volvoxz 400 Air Purifier', 'Volvoxz STR Air Purifier', 'Volvoxz 800 Air Purifier', 'Volvoxz 1200 Air Purifier']"
9,Adishwar India Limited,"WOC Road, Bengaluru","146, 11th C Cross, 2nd Stage, WOC Road, Behind Mahalakshmipuram Police Station, Bengaluru-  560086, Karnataka","Call
08023449271","['Air Purifiers', 'BS-AP90RAP Blue Star Air Purifiers', 'Bs Ap250rap Air Purifier', 'BS-AP450SANS Blue Star Air Purifiers']"
10,Dream Water World,"Kothanur, Bengaluru","No. 53, Narayanapura Kothanur Post, Bengaluru-  560077, Karnataka","Call
09742090251","['Kent Ozone Air Purifier', 'Kent Ozone Air Purifier', 'Eat Pure Air Purifier', 'Breathe Pure Air Purifier']"
11,ASQ Business Solutions,"Cunningham Road, Bengaluru","30/1/A, 1st Floor, Leemans Complex Cunningham Road, Bengaluru-  560052, Karnataka","Call
08048371928,283","['Air Purifier', 'Industrial Air Purifier', 'Medical Air Purifier', 'Heavy Duty Commercial Air Purifier']"
12,Indaircon Engineers Private Limited,"Wilson Garden, Bengaluru","19/1, Old No. 348/19, 8th Cross Road, Wilson Garden, Vinayaka Nagar, Bengaluru-  560027, Karnataka","Call
08048250468,308","['Blue Star Air Purifiers BS-AP90RAP', 'Blue Star Air Purifiers BS-AP450SANW', 'Blue Star Air Purifiers BS-AP250RAP', 'Blue Star Air Purifiers BS-AP450SANS']"
13,New Kitchen World,"BTM 2nd Stage, Bengaluru","No. 49, Vysya Bank Colony, 100 Feet Ring Road, 2nd Stage, Bengaluru-  560076, Karnataka","Call
08048371845,627","['Portable Car Air Purifier', 'Room Air Purifier', 'Air Purifier', 'Air Purifier']"
14,Indaircon,"Wilson Garden, Bengaluru","Wilson Garden, Bengaluru-  560027, Karnataka","Call
08048372289,201","['Bs-ap450sans Silver', 'Bs-ap90rap', 'Bs-ap450sanw White', 'Bs-ap250rap']"
15,Revitsone Software Technologies Private Limited,Bengaluru,"No. 504, 5th Floor, Brigade Rubix, HMT Main Road, HMT Township, Bengaluru-  560013, Karnataka","Call
08047645517","['Corsa One UV Air Purifier', 'RevitsOne HEPA Activated Carbon Filters for Corsa Air Purifier-Re-Placement Pack', 'Corsa Plus UVC-C Air Purifier Air Purifier']"
16,SAVVEY TECHNOMATICS CO,"Kempapura, Hebbal, Bengaluru","655, T3, Hr. Splendidio 13th Main Road, Coffee Board Lyt, Bengaluru-  560024, Karnataka","Call
07942559028","['Air Purifier With UV And Ionizer, HEPA, Carbon Filter', 'Purashield Air Purifiers', 'Concealed HEPA Air Purifier']"
17,Masters Surgical And Pharmaceutical,Bengaluru,"No 123/1, First Floor, Master Surgicals And Phamaceuticals, 2nd Main Road 9th Cross, Chamrajpete, Bengaluru-  560018, Karnataka","Call
07942552145","['Air Purifier - AP-03', 'Air Purifier - AP-01', 'Air Purifier - AP-04']"
18,Sharp Business System (India) Pvt. Ltd.,"Vasant Nagar, Bengaluru","No.19 Queens Road Cantonment, Opp Millennium Towers, Bengaluru-  560052, Karnataka","Call
09886006641","['Plasma Air Purifier', 'Plasma Air Purifier', 'Plasma Air Purifier']"
19,CA Engineers Private Ltd,"Domlur, Bengaluru","C 8 - 312, BDA Quarters, 4th Main Road, Domlur,, Bengaluru-  560071, Karnataka","Call
08025352456","['Blue Star Air Purifiers', 'Air Purifiers', 'Air Purifiers']"
20,Eltech Appliances Private Limited,"Jayanagar, Bengaluru","Pride Hulkul building, Opp Passport office, Lalbhag road, Bengaluru-  560028, Karnataka","Call
08048372565,370","['Vestar VPT2103MWH Air Purifier', 'Vestar VPT1803MWH-P Air Purifiers', 'Vestar VPC3204MWH Air Purifier']"
21,Blue Star,"Mission Road, Bengaluru","Anjuman Kay ARR Tower, No.28, Ward No.77,, Bengaluru-  560027, Karnataka","Call
09686692469","['Air Purifier BS AP450SANW White', 'BS-AP450SANS Blue Star Air Purifiers', 'BS-AP90RAP Blue Star Air Purifiers']"
22,Knnd Associates Private Limited,Bengaluru,"Main Road, JP Nagar, Indian Overseas Bank, Kabab Magic East End Circle, Bengaluru-  560078, Karnataka","Call
08069033793,774","['Toshiba Air Purifier CAFW116XIN', 'Toshiba Air Purifier CAFW48XIN', 'Toshiba Air Purifier CAFW33XIN']"
23,Eureka Forbes,"Rajajinagar, Bengaluru","No.17/A, 2nd Floor, 1st R Block, Next To Mahalakshmi Metro Station, Bengaluru-  560010, Karnataka","Call
08048372261,265","['Dr. Aeroguard SCPR 100', 'Dr. Aeroguard SCPR 200', 'Dr. Aeroguard SCPR 700']"
24,Ramky Speciality Chemicals & Equipment,"Padmanabha Nagar, Bengaluru","Shop 3, Basement Floor Kaustubha Commercial Complex, No 730, 18th Main Road,, Bengaluru-  560070, Karnataka","Call
08048372461,219","['Smart Air Purifier With Molecular Filtration Media (Purashield 500 & 1000)', 'Air Purifiers With Phi Based Ionization Technology', 'Smart Indoor Air Purifications Systems & PHI Based Clean Air Systems']"
25,Kliff Health Care Private Limited...,"Jalahalli West, Bengaluru","Plot No. 442, Mahaveer Rich Apartment, AGB Layout,, Bengaluru-  560090, Karnataka",Call08045910122,"['Air Purifier', 'Ceiling Mount Cassette Type Air Purifier']"
26,Synjergo Technologies private limi..,"Banaswadi, Bengaluru","No. 703, 5C,Ground Floor, 7th Main, 1st Block, Kalyan Nagar HRBR I Block, Bengaluru-  560043, Karnataka",Call08046074096,"['HEXAONE-Air Purifier', 'Hexa Duo Air Purifier']"
27,Vinod Home Needs,"Kaikondrahalli, Bengaluru","Kaikondrahalli, Sarjapur Road, Bengaluru-  560035, Karnataka",Call09703757070,"['Portable Air Purifier', 'Air purifier']"
28,Aqozone Industries,"Seshadripuram, Bengaluru","Ground Floor,No 48,1St Cross Nehrunagar,,Seshadripuram,,Bengaluru (Bangalore) Urban,, Bengaluru-  560020, Karnataka",Call09986209275,"['Air Purifier', 'TO3 Auto Home Air Purifier']"
29,Aqozone Industries,"Seshadripuram, Bengaluru","Ground Floor,No 48,1St Cross Nehrunagar,,Seshadripuram,,Bengaluru (Bangalore) Urban,Karnataka,560020, Bengaluru-  560020, Karnataka",Call09900701363,"['Auto Home Air Purifier', 'Mini Home Air Purifier']"
30,T C Associates,"Electronic City Phase-1,, Bengaluru","No.15, 2nd Floor, RMR Shopping Complex, 3rd Cross, Neeladri Nagar,, Bengaluru-  560110, Karnataka",Call09844626838,"['MIYABi Air Purifier AP 60B', 'MIYABi Air Purifier AP 60H']"
31,TTK Prestige Limited,Bengaluru,"2nd Floor, Jain Height, JC Road, Jain College, Bengaluru-  560027, Karnataka",Call08123908758,"['Air Purifier PAP 5.0', 'Air Purifier PAP 1.0']"
32,Rippleffect,"BTM 2nd Stage, Bengaluru","178, 9th Main, 2nd Cross, AICOBOO Nagar, BTM 2nd Stage, Bengaluru-  560076, Karnataka",Call09611261392,"['Air Purifier 2', 'Air Purifier 1']"
33,Unimech Aerospace And Manufacturin..,"Peenya, Bengaluru","No.538, 539, 542 and 543 Yeshwanthpur 7th Main of Peenya IV Phase Industrial Area, Bengaluru-  560058, Karnataka","Call08048371887,166","['Air-O-Clean', 'Air-O-Clean Plus']"
34,PRORESOL,"Hubli, Bengaluru","Ground Floor Keshwapur, Bengaluru-  560100, Karnataka","Call08068441164,923","['Eureka Forbes Air Purifier Model: Aeroguard AP 700', 'Eureka Forbes Air Purifier : Dr. Aeroguard : Model AP 700 DX']"
35,Pure Water House,"Hatchins Road, Bengaluru","ground Floor, 30, Hutchins Road 6th Cross, Pure Water House, St Thomas Town St. Thomas Town, Bengaluru-  560084, Karnataka","Call08048372499,428","['Philips Air Purifier', 'PHILIPS AC 1215']"
36,Eureka Forbes,"Jayanagar, Bengaluru","No. 18/2, 1st And 2nd Floor, Ghanchi Bazaar Basavanagudi, Bengaluru-  560004, Karnataka","Call08048371866,198","['Air Purifiers (SCPR 1100)', 'Air Purifiers (SCPR 200)']"
37,Techgreen Solution,"Kalyan Nagar, Bengaluru","HRBR Layout, Kalyan Nagar, Bengaluru-  560043, Karnataka","Call08048372022,944","['Air Purifier TGWPO Point 2-D', 'Air Purifier Neo TGAPN']"
